condition	speaker	system	text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event	cos_own_event_matched	cos_other_event_matched	cos_prompt
flat	p231	cosy	2	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p231_t2.wav	0.65891384324256563	0.62776500025441218	0.75371905591987365	0.63641462588157982	0.73983119575088474
flat	p231	cosy	2	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p231_t2.wav	0.94591439040958691	0.96376834729472804	0.95713328311755663	0.97395023528167757	0.97221364137619837
flat	p231	cosy	3	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p231_t3.wav	0.59389651647621111	0.55366945399122913	0.71195285548441201	0.62132429109252363	0.68933216900203598
flat	p231	cosy	3	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p231_t3.wav	0.94285368813151904	0.95186248799093187	0.94886929064253123	0.95049685565842479	0.95325795365072163
flat	p231	seedvc	0	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p231_t0.wav	0.59305362393642092	0.53921668138386547	0.68696363361191426	0.62085648399748994	0.65720334019050708
flat	p231	seedvc	0	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p231_t0.wav	0.82564169029023327	0.84152679455214252	0.83284242952383403	0.80350303622790586	0.81085812171797422
flat	p231	seedvc	1	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p231_t1.wav	0.4958739212442469	0.46534987071961037	0.64218971153100857	0.57110937549821505	0.65036752980323198
flat	p231	seedvc	1	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p231_t1.wav	0.80939870641429712	0.81734224546475631	0.80346041419745196	0.77320675186815446	0.77096302662361005
flat	p231	seedvc	2	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p231_t2.wav	0.53106555890858531	0.44739043933015138	0.61362548607987799	0.51729416165313247	0.61761852369329895
flat	p231	seedvc	2	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p231_t2.wav	0.77290648143009055	0.77835654568657464	0.78000746474804306	0.7418665322654393	0.75225207903429325
flat	p231	seedvc	3	A	ecapa	exp211/clones/flat/seedvc__mic1__seedA/p231_t3.wav	0.58248247864621527	0.49748722662577183	0.69865996113387463	0.57621140390211956	0.7021375953554243
flat	p231	seedvc	3	A	wavlmsv	exp211/clones/flat/seedvc__mic1__seedA/p231_t3.wav	0.88111067657501185	0.88567312461845371	0.87186399773073076	0.84243873353000276	0.84820763884742323
flat	p231	f5	0	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p231_t0.wav	0.66937290517988901	0.64888473494586263	0.79548937858493396	0.76916232321517741	0.80231432751908338
flat	p231	f5	0	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p231_t0.wav	0.96661460551946765	0.95182080852729423	0.98372483474696448	0.953014982636323	0.97834920752745724
flat	p231	f5	1	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p231_t1.wav	0.65112078387167427	0.62932008421269936	0.74737855779551621	0.75413976985784159	0.76767712603322669
flat	p231	f5	1	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p231_t1.wav	0.96437026491837441	0.95239553895013362	0.97485380693759083	0.95835416721457145	0.96214880636825084
flat	p231	f5	2	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p231_t2.wav	0.69863817031107822	0.64261950048048344	0.78811437827093211	0.73606183150078097	0.78914915021887733
flat	p231	f5	2	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p231_t2.wav	0.96655011874939079	0.94536747247674691	0.96881896939222467	0.94381743310875066	0.96302160650279867
flat	p231	f5	3	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p231_t3.wav	0.58462618893953711	0.58763885571641405	0.74547427318476767	0.75890134192529324	0.77182210478074487
flat	p231	f5	3	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p231_t3.wav	0.97785682184817313	0.97703217588059776	0.96802411310878056	0.96715130492903145	0.9600464795962026
flat	p231	xtts	0	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p231_t0.wav	0.50722200066679712	0.45683437340682176	0.56375691805430028	0.51873579466448549	0.51358884863394783
flat	p231	xtts	0	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p231_t0.wav	0.88943758494668612	0.88724647950280633	0.88606114223806276	0.91436149228184904	0.86045009545971785
flat	p231	xtts	1	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p231_t1.wav	0.3459780012175997	0.26388130965872836	0.34352106628012247	0.28028665436083489	0.34205978468850229
flat	p231	xtts	1	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p231_t1.wav	0.78501226836967453	0.73418373857381525	0.7989426684390728	0.75164757375843871	0.78443565864897158
flat	p231	xtts	2	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p231_t2.wav	0.65692208530274543	0.6175108183052056	0.65073459422214242	0.66657159774774533	0.63750206171578661
flat	p231	xtts	2	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p231_t2.wav	0.95535992250377511	0.95165117218568673	0.96298649503153833	0.96040960428700883	0.96110377802019886
flat	p231	xtts	3	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p231_t3.wav	0.57326555835195081	0.57907830879491029	0.56029676019815278	0.6039309275084046	0.54418970294096125
flat	p231	xtts	3	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p231_t3.wav	0.95316887372942294	0.95725188417294704	0.94584723795467152	0.96590662306571595	0.93470200602963982
flat	p231	cosy	0	B	ecapa	exp211/clones/flat/cosy__mic1__seedB/p231_t0.wav	0.64959119347191685	0.63180161548871494	0.72072859766773834	0.72072942579926491	0.71645467474785429
flat	p231	cosy	0	B	wavlmsv	exp211/clones/flat/cosy__mic1__seedB/p231_t0.wav	0.96712723082367036	0.94475377512274517	0.96395598577733443	0.94363256976901722	0.95453933756813347
