speaker	gen1_system	gen1_text_index	gen2_system	gen2_text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event
p231	f5	1	xtts	2	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p231_t2.wav	0.83380525865022936	0.84207791575121638
p231	f5	1	xtts	2	B	ecapa	exp210/clones/xtts__from_f5__seedB/p231_t2.wav	0.56545778691338044	0.51504587382728806
p231	f5	1	xtts	2	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p231_t2.wav	0.83467233424791776	0.83364474498002084
p231	f5	2	xtts	3	A	ecapa	exp210/clones/xtts__from_f5__seedA/p231_t3.wav	0.49025359531516949	0.47992152730661308
p231	f5	2	xtts	3	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p231_t3.wav	0.84675913360084187	0.84389003185313038
p231	f5	2	xtts	3	B	ecapa	exp210/clones/xtts__from_f5__seedB/p231_t3.wav	0.59249379444465844	0.54162489065998565
p231	f5	2	xtts	3	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p231_t3.wav	0.95012641456092051	0.91815232058603979
p231	f5	3	xtts	0	A	ecapa	exp210/clones/xtts__from_f5__seedA/p231_t0.wav	0.3762005994256421	0.40785084437379221
p231	f5	3	xtts	0	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p231_t0.wav	0.8293278542913376	0.8192935702773475
p231	f5	3	xtts	0	B	ecapa	exp210/clones/xtts__from_f5__seedB/p231_t0.wav	0.46732016735974191	0.40214508662450199
p231	f5	3	xtts	0	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p231_t0.wav	0.92117339826875488	0.8982807103748246
p231	xtts	0	cosy	1	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p231_t1.wav	0.56823790944521768	0.56049497214648114
p231	xtts	0	cosy	1	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p231_t1.wav	0.88473201463887163	0.91454728463672774
p231	xtts	0	cosy	1	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p231_t1.wav	0.6215852826533752	0.58959299525103293
p231	xtts	0	cosy	1	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p231_t1.wav	0.95889401588262468	0.9413239874328474
p231	xtts	1	cosy	2	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p231_t2.wav	0.48078711481531439	0.45322372694571028
p231	xtts	1	cosy	2	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p231_t2.wav	0.800162846647265	0.8240609139949211
p231	xtts	1	cosy	2	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p231_t2.wav	0.73236512987445856	0.71152883299243186
p231	xtts	1	cosy	2	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p231_t2.wav	0.98446615066686105	0.97314005700329287
p231	xtts	2	cosy	3	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p231_t3.wav	0.42649653259796316	0.32557167750661997
p231	xtts	2	cosy	3	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p231_t3.wav	0.80443358076406146	0.81869121855486582
