speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.93385908089662384	0.91418870181014855
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.32443035564639966	0.35645952753854776
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.9018490266260788	0.91215961611742613
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.36619951231124093	0.30432834536550346
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.91504808003001492	0.91023504745001482
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.73725160328136008	0.64068829846754083
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.96821661152105465	0.96024351319865697
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.75575514252740539	0.6818340508498224
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.97988880246295085	0.9573598845878305
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.65061858359618019	0.56733642924105365
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.97841703388870183	0.95016571833739771
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.56790904698412215	0.48413998242430822
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.91516471852485115	0.90462310017433478
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.51431348409669075	0.46016010784180045
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.88419040753152289	0.87495281828139193
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.56448444742811843	0.44478058509215379
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.92559744820764323	0.86281126159387134
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.31383240289960523	0.38302653942029374
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.94754031773266423	0.91223899419516163
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.36552014935670235	0.37835977622164052
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.91800940651913421	0.92451651432713455
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.58034368963673977	0.44980106241723272
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.91722893029451458	0.86149065903238675
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.72589810241601627	0.66843803240761401
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.96665170203840267	0.96277111797727399
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.78841551895961703	0.70430176887420914
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.97194993875249303	0.95532045341088156
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.75966181795688492	0.70838258626668282
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.95506028738993864	0.94884152921761611
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.6216244979311033	0.50927224170178698
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.94172937698491865	0.91430473696492487
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.57566250043924017	0.51435850887270795
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.92230839902673722	0.90717927159466671
p229	primary_mic1_to_mic2	ecapa	f5	3	mic1	A	02b31c6219f89294	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.5612723091398597	0.47357114495974545
p229	primary_mic1_to_mic2	wavlm	f5	3	mic1	A	02b31c6219f89294	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.93172752567728812	0.89690292648935577
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.50601436381279918	0.48739661140528989
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.94971807054277746	0.91148799909268652
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.44558728369089617	0.32988680819802751
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.96730519082332378	0.74991006524738524
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.47834254342218496	0.37324226714941816
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.95668111623214858	0.84271033678872853
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.5039820723189381	0.44168976694850304
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.96160678713968417	0.9407121347831815
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.49626327009252719	0.46398159231704922
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.96542151259950704	0.97032690765988427
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.4208229837467044	0.41761387605361766
